Date,PLAYER_NAME,Team,Opp,Fantasy_Team,Free_Agent,Injury_Status,Pred_MIN,Pred_FP,L3_FP_per_Min,Opp_DefRtg,Schedule_Rest,Long_Absence_Flag
2026-04-09,Joel Embiid,PHI,HOU,Free Agent,True,ACTIVE,34.12,45.57,1.37,108.06,3,0
2026-04-09,Josh Giddey,CHI,WAS,Sensei Kensei Konichiwa,False,DAY_TO_DAY,32.83,45.48,1.28,120.41,4,0
2026-04-09,Jayson Tatum,BOS,NYK,Justin's Scary Team,False,ACTIVE,35.97,44.39,1.32,111.16,0,0
2026-04-09,Kevin Durant,HOU,PHI,Woo Shiesty,False,ACTIVE,36.37,44.15,1.12,112.06,-1,0
2026-04-09,Scottie Barnes,TOR,MIA,Garden State Warriors (pt. 2),False,ACTIVE,31.58,43.9,0.94,109.96,-3,0
2026-04-09,LeBron James,LAL,GSW,Justin's Scary Team,False,ACTIVE,30.1,43.32,2.08,109.08,-3,0
2026-04-09,Jaylen Brown,BOS,NYK,Shang Chi,False,ACTIVE,35.54,42.83,1.14,111.16,-1,0
2026-04-09,Tyrese Maxey,PHI,HOU,Justin's Scary Team,False,ACTIVE,36.35,42.48,1.12,108.06,-3,0
2026-04-09,Alperen Sengun,HOU,PHI,MVPG13 SHWIN,False,ACTIVE,31.96,42.41,0.84,112.06,-1,0
2026-04-09,Tre Jones,CHI,WAS,MVPG13 SHWIN,False,ACTIVE,27.9,42.03,1.52,120.41,-3,0
2026-04-09,Amen Thompson,HOU,PHI,Justin's Scary Team,False,ACTIVE,33.82,40.15,1.27,112.06,-1,0
2026-04-09,Stephen Curry,GSW,LAL,Free Agent,True,ACTIVE,29.17,39.88,1.05,114.49,-3,0
2026-04-09,Bam Adebayo,MIA,TOR,Garden State Warriors (pt. 2),False,ACTIVE,33.52,38.39,1.36,110.91,-3,0
2026-04-09,Tyler Herro,MIA,TOR,Joe's Fatsos,False,DAY_TO_DAY,32.79,38.06,1.0,110.91,-3,0
2026-04-09,Karl-Anthony Towns,NYK,BOS,Ibrahim's Impressive Team,False,ACTIVE,30.99,37.9,1.5,111.33,-1,0
2026-04-09,Matas Buzelis,CHI,WAS,Kev's Crips,False,DAY_TO_DAY,30.73,36.95,0.89,120.41,-1,0
2026-04-09,Paul George,PHI,HOU,Free Agent,True,ACTIVE,33.16,36.62,0.87,108.06,-3,0
2026-04-09,Jalen Brunson,NYK,BOS,Free Agent,True,ACTIVE,34.97,36.39,1.26,111.33,-1,0
2026-04-09,Brandon Ingram,TOR,MIA,Sensei Kensei Konichiwa,False,ACTIVE,32.57,36.14,1.18,109.96,-3,0
2026-04-09,Jabari Smith Jr.,HOU,PHI,Kev's Crips,False,ACTIVE,35.5,35.83,0.68,112.06,-1,0
2026-04-09,Lachlan Olbrich,CHI,WAS,Free Agent,True,ACTIVE,26.72,35.81,0.82,120.41,-3,0
2026-04-09,Kristaps Porzingis,GSW,LAL,Justin's Scary Team,False,ACTIVE,27.05,35.45,0.88,114.49,-3,0
2026-04-09,Collin Sexton,CHI,WAS,Free Agent,True,ACTIVE,28.75,35.23,1.08,120.41,-3,0
2026-04-09,Leonard Miller,CHI,WAS,Free Agent,True,ACTIVE,31.08,35.23,1.16,120.41,-3,0
2026-04-09,Julian Reese,WAS,CHI,Free Agent,True,ACTIVE,32.77,34.41,0.88,115.23,-3,0
2026-04-09,Jamir Watkins,WAS,CHI,Free Agent,True,ACTIVE,28.74,34.24,0.64,115.23,-3,0
2026-04-09,RJ Barrett,TOR,MIA,Joe's Fatsos,False,ACTIVE,32.76,33.34,0.98,109.96,-3,0
2026-04-09,Mikal Bridges,NYK,BOS,Free Agent,True,ACTIVE,37.74,33.07,0.95,111.33,-3,0
2026-04-09,Payton Pritchard,BOS,NYK,Kev's Crips,False,ACTIVE,31.73,32.8,1.0,111.16,-1,0
2026-04-09,Will Riley,WAS,CHI,Shang Chi,False,ACTIVE,32.62,32.0,0.97,115.23,-3,0
2026-04-09,VJ Edgecombe,PHI,HOU,Sensei Kensei Konichiwa,False,ACTIVE,33.57,31.73,1.13,108.06,-3,0
2026-04-09,Patrick Williams,CHI,WAS,Free Agent,True,ACTIVE,28.93,31.49,0.82,120.41,-3,0
2026-04-09,Quentin Grimes,PHI,HOU,Free Agent,True,ACTIVE,24.85,30.58,0.56,108.06,-3,0
2026-04-09,Anthony Gill,WAS,CHI,Free Agent,True,ACTIVE,33.69,30.48,0.67,115.23,-3,0
2026-04-09,Bub Carrington,WAS,CHI,Free Agent,True,ACTIVE,29.08,30.34,1.17,115.23,-3,0
2026-04-09,Sharife Cooper,WAS,CHI,Free Agent,True,ACTIVE,23.48,29.69,1.58,115.23,-3,0
2026-04-09,Mohamed Diawara,NYK,BOS,Free Agent,True,ACTIVE,19.87,29.41,0.78,111.33,-3,0
2026-04-09,Ethan Thompson,IND,BKN,Free Agent,True,ACTIVE,30.5,29.13,0.82,115.41,-3,0
2026-04-09,De'Anthony Melton,GSW,LAL,Free Agent,True,ACTIVE,24.35,29.1,1.08,114.49,-3,0
2026-04-09,Ron Harper Jr.,BOS,NYK,Free Agent,True,ACTIVE,20.94,28.87,1.09,111.16,-3,0
2026-04-09,Baylor Scheierman,BOS,NYK,Free Agent,True,ACTIVE,26.25,28.69,0.8,111.16,-3,0
2026-04-09,Bilal Coulibaly,WAS,CHI,Free Agent,True,DAY_TO_DAY,26.74,28.65,1.23,115.23,-1,0
2026-04-09,Josh Hart,NYK,BOS,Free Agent,True,ACTIVE,32.14,28.08,0.87,111.33,-1,0
2026-04-09,Rob Dillingham,CHI,WAS,Free Agent,True,ACTIVE,26.77,28.06,0.64,120.41,-3,0
2026-04-09,Kelly Oubre Jr.,PHI,HOU,Woo Shiesty,False,ACTIVE,29.56,27.85,1.2,108.06,-3,0
2026-04-09,Pelle Larsson,MIA,TOR,Woo Shiesty,False,ACTIVE,30.06,27.79,0.56,110.91,-1,0
2026-04-09,Justin Champagnie,WAS,CHI,Free Agent,True,DAY_TO_DAY,23.74,27.7,1.1,115.23,-3,0
2026-04-09,OG Anunoby,NYK,BOS,Team 9,False,ACTIVE,34.18,27.5,0.94,111.33,-1,0
2026-04-09,Brandin Podziemski,GSW,LAL,Team 9,False,ACTIVE,26.28,27.34,1.18,114.49,-3,0
2026-04-09,Nic Claxton,BKN,IND,MVPG13 SHWIN,False,DAY_TO_DAY,22.67,27.27,0.81,113.46,4,0
2026-04-09,Davion Mitchell,MIA,TOR,Free Agent,True,ACTIVE,30.33,27.21,0.95,110.91,-3,0
2026-04-09,Reed Sheppard,HOU,PHI,Kev's Crips,False,ACTIVE,24.57,26.98,1.08,112.06,-3,0
